,Date,Net Sales,Orders,Guests
0,2023-01-01,493.2,15,15
1,2023-01-02,0.0,0,0
2,2023-01-03,360.74,12,12
3,2023-01-04,254.84,9,9
4,2023-01-05,405.06,16,16
5,2023-01-06,704.41,26,26
6,2023-01-07,758.58,23,23
7,2023-01-08,561.42,13,13
8,2023-01-09,0.0,0,0
9,2023-01-10,409.74,13,13
10,2023-01-11,173.59,6,6
11,2023-01-12,175.39,7,7
12,2023-01-13,798.87,23,23
13,2023-01-14,733.0,21,21
14,2023-01-15,594.16,16,16
15,2023-01-16,0.0,0,0
16,2023-01-17,342.25,9,9
17,2023-01-18,270.52,9,9
18,2023-01-19,255.34,9,9
19,2023-01-20,570.35,20,20
20,2023-01-21,398.74,13,13
21,2023-01-22,363.25,11,11
22,2023-01-23,0.0,0,0
23,2023-01-24,388.71,13,13
24,2023-01-25,153.88,6,6
25,2023-01-26,395.78,13,13
26,2023-01-27,513.91,19,19
27,2023-01-28,513.96,21,21
28,2023-01-29,794.2,23,23
29,2023-01-30,0.0,0,0
30,2023-01-31,0.0,0,0
31,2023-02-01,0.0,0,0
32,2023-02-02,322.8,12,12
33,2023-02-03,981.78,30,30
34,2023-02-04,868.83,28,28
35,2023-02-05,804.69,26,26
36,2023-02-06,0.0,0,0
37,2023-02-07,231.85,7,7
38,2023-02-08,302.87,9,9
39,2023-02-09,998.06,34,34
40,2023-02-10,1005.07,25,25
41,2023-02-11,760.39,25,25
42,2023-02-12,1292.27,28,28
43,2023-02-13,0.0,0,0
44,2023-02-14,527.05,17,17
45,2023-02-15,429.84,8,8
46,2023-02-16,395.13,12,12
47,2023-02-17,1537.27,23,23
48,2023-02-18,544.69,19,19
49,2023-02-19,443.88,17,17
50,2023-02-20,0.0,0,0
51,2023-02-21,386.75,15,15
52,2023-02-22,687.7,17,17
53,2023-02-23,508.99,21,21
54,2023-02-24,1041.35,39,39
55,2023-02-25,888.95,25,25
56,2023-02-26,605.51,17,17
57,2023-02-27,0.0,0,0
58,2023-02-28,571.04,15,15
59,2023-03-01,457.13,18,18
60,2023-03-02,726.31,25,25
61,2023-03-03,904.91,34,34
62,2023-03-04,792.66,28,28
